bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,fips,lotsizesquarefeet
4.0,3.5,3100.0,1023282.0,1998.0,6059.0,4506.0
2.0,1.0,1465.0,464000.0,1967.0,6111.0,12647.0
3.0,2.0,1243.0,564778.0,1962.0,6059.0,8432.0
4.0,3.0,2376.0,145143.0,1970.0,6037.0,13038.0
4.0,3.0,2962.0,773303.0,1950.0,6037.0,63000.0
2.0,1.0,738.0,218552.0,1922.0,6037.0,4214.0
4.0,3.0,3039.0,220583.0,1970.0,6037.0,20028.0
4.0,3.0,2540.0,430108.0,1999.0,6037.0,10384.0
3.0,2.5,1340.0,319668.0,1980.0,6059.0,1199.0
3.0,2.5,1371.0,198054.0,2004.0,6111.0,3445.0
4.0,2.0,1677.0,528847.0,1981.0,6059.0,5304.0
2.0,1.0,1146.0,273745.0,1939.0,6037.0,4657.0
3.0,2.5,2074.0,597213.0,1978.0,6059.0,5600.0
3.0,2.5,2018.0,534612.0,1998.0,6059.0,2800.0
2.0,1.0,1316.0,171838.0,1908.0,6037.0,5091.0
3.0,1.0,1641.0,432754.0,1944.0,6037.0,5302.0
6.0,4.5,3870.0,2040000.0,1972.0,6059.0,10050.0
3.0,2.0,1538.0,401399.0,1972.0,6037.0,5997.0
3.0,2.0,1851.0,85035.0,1920.0,6037.0,6714.0
2.0,3.0,3230.0,954106.0,1967.0,6059.0,18200.0
4.0,3.0,2447.0,1083000.0,1967.0,6037.0,7911.0
4.0,2.5,1987.0,703127.0,1989.0,6059.0,3600.0
3.0,3.0,3641.0,1444248.0,1980.0,6037.0,183383.0
5.0,4.0,3572.0,1473080.0,1967.0,6037.0,20148.0
4.0,2.5,1979.0,800017.0,1977.0,6059.0,3936.0
3.0,3.0,2637.0,833227.0,1952.0,6037.0,8968.0
5.0,2.0,1818.0,166428.0,1948.0,6037.0,7499.0
4.0,3.0,3160.0,691816.0,1941.0,6037.0,16506.0
2.0,2.0,1529.0,657099.0,1928.0,6037.0,3640.0
3.0,2.0,1447.0,70755.0,1901.0,6037.0,7283.0
3.0,1.0,872.0,248916.0,1922.0,6037.0,5566.0
4.0,5.0,5492.0,1814004.0,2006.0,6037.0,67316.0
4.0,3.0,2317.0,309821.0,1953.0,6037.0,8703.0
4.0,5.0,4468.0,1279000.0,2007.0,6059.0,7900.0
3.0,2.5,1734.0,638000.0,2000.0,6059.0,2765.0
3.0,2.0,1815.0,103293.0,1958.0,6037.0,10311.0
2.0,1.0,609.0,162320.0,1948.0,6037.0,8997.0
3.0,3.0,2380.0,654279.0,1991.0,6037.0,9960.0
4.0,4.0,3415.0,579059.0,1999.0,6059.0,6185.0
2.0,2.0,1367.0,815542.0,2014.0,6059.0,6000.0
2.0,2.0,1814.0,310117.0,1962.0,6037.0,5372.0
2.0,1.0,928.0,241624.0,1948.0,6037.0,13360.0
3.0,2.0,1463.0,200726.0,1984.0,6037.0,12113.0
3.0,2.0,1481.0,606645.0,1962.0,6059.0,10112.0
4.0,2.0,1625.0,97097.0,1956.0,6037.0,8427.0
5.0,6.5,9586.0,3624442.0,1992.0,6059.0,30000.0
2.0,1.0,812.0,40746.0,1917.0,6037.0,7150.0
3.0,3.0,2406.0,605540.0,1979.0,6037.0,7245.0
2.0,1.0,776.0,164836.0,1946.0,6037.0,7055.0
3.0,2.0,1059.0,187119.0,1955.0,6037.0,7215.0
2.0,1.0,1046.0,232000.0,1885.0,6037.0,
5.0,4.0,5900.0,737397.0,1989.0,6037.0,35174.0
5.0,5.0,5823.0,852836.0,1998.0,6037.0,10010.0
3.0,2.0,1457.0,334119.0,1944.0,6037.0,5457.0
4.0,4.0,3721.0,1289594.0,1963.0,6037.0,50708.0
3.0,2.0,1152.0,218510.0,1971.0,6059.0,8597.0
3.0,2.0,1607.0,963231.0,1939.0,6037.0,10520.0
3.0,2.5,2283.0,730498.0,2006.0,6059.0,3112.0
2.0,1.0,1027.0,49034.0,1951.0,6037.0,5574.0
5.0,3.0,2453.0,473286.0,1999.0,6059.0,5610.0
2.0,1.0,1121.0,72867.0,1940.0,6037.0,6055.0
2.0,1.0,847.0,214354.0,1938.0,6037.0,5025.0
4.0,2.0,1266.0,465990.0,1961.0,6059.0,7200.0
2.0,1.0,1070.0,141693.0,1937.0,6037.0,4829.0
3.0,1.5,1360.0,265259.0,1971.0,6059.0,3549.0
2.0,2.0,1810.0,144688.0,1956.0,6037.0,7210.0
3.0,2.0,1244.0,199420.0,1954.0,6037.0,7501.0
5.0,3.0,2468.0,541129.0,1966.0,6059.0,7000.0
3.0,2.5,3011.0,1441252.0,1973.0,6059.0,6944.0
3.0,3.0,2581.0,1070352.0,1939.0,6037.0,6994.0
3.0,2.5,1270.0,553311.0,1973.0,6059.0,1944.0
3.0,3.0,2007.0,633122.0,1963.0,6059.0,9040.0
3.0,1.0,1040.0,234319.0,1923.0,6037.0,5427.0
3.0,1.0,968.0,37210.0,1951.0,6037.0,7499.0
3.0,2.0,1731.0,73745.0,1963.0,6059.0,8000.0
4.0,2.0,1623.0,313973.0,1929.0,6059.0,7100.0
3.0,3.0,3172.0,700000.0,1966.0,6037.0,14356.0
3.0,1.0,1206.0,52764.0,1954.0,6037.0,7415.0
3.0,2.0,1560.0,56059.0,1950.0,6059.0,6180.0
4.0,3.0,1908.0,145452.0,2006.0,6037.0,
5.0,2.0,1901.0,635000.0,1950.0,6037.0,6693.0
3.0,2.0,1384.0,288193.0,1955.0,6059.0,6324.0
4.0,2.0,1482.0,289996.0,1972.0,6059.0,7904.0
4.0,2.5,1658.0,206365.0,1974.0,6059.0,1632.0
2.0,1.0,480.0,13817.0,1926.0,6059.0,3000.0
3.0,2.0,1441.0,315672.0,1955.0,6059.0,7215.0
3.0,2.0,1270.0,282233.0,1985.0,6037.0,5836.0
4.0,2.0,1392.0,420525.0,1969.0,6111.0,7300.0
1.0,1.0,455.0,86152.0,1922.0,6059.0,1904.0
5.0,3.0,3245.0,1294418.0,1988.0,6037.0,121717.0
3.0,2.0,1270.0,77571.0,1957.0,6111.0,11200.0
2.0,2.0,1353.0,132508.0,1956.0,6037.0,5802.0
4.0,3.0,2342.0,387648.0,1978.0,6111.0,8644.0
5.0,3.0,2468.0,705590.0,1965.0,6059.0,9675.0
5.0,4.5,3543.0,502035.0,1996.0,6059.0,7776.0
4.0,3.0,3107.0,1279125.0,1957.0,6037.0,17166.0
3.0,1.0,1295.0,192008.0,1940.0,6037.0,4795.0
3.0,2.0,1440.0,84218.0,1956.0,6037.0,7915.0
3.0,2.0,1632.0,631600.0,1960.0,6037.0,9654.0
4.0,3.0,2521.0,128871.0,1971.0,6037.0,4976.0
3.0,2.0,1346.0,206909.0,1965.0,6111.0,6275.0
4.0,3.0,2088.0,521000.0,1975.0,6037.0,4920.0
4.0,2.0,1966.0,419295.0,1960.0,6037.0,7842.0
3.0,3.0,2728.0,789179.0,1987.0,6111.0,4000.0
3.0,2.0,1499.0,82798.0,1947.0,6037.0,6522.0
4.0,2.0,1570.0,249614.0,1958.0,6037.0,8700.0
4.0,3.0,2880.0,333437.0,1966.0,6059.0,7248.0
3.0,1.0,1080.0,60632.0,1948.0,6037.0,6746.0
3.0,6.0,4664.0,2157425.0,1936.0,6037.0,39352.0
4.0,3.0,3304.0,524802.0,1989.0,6111.0,9731.0
3.0,2.0,1929.0,404643.0,1988.0,6037.0,10136.0
2.0,2.0,2294.0,439797.0,1985.0,6059.0,15118.0
4.0,2.0,1809.0,884199.0,1929.0,6037.0,5676.0
4.0,3.0,3215.0,579800.0,2004.0,6037.0,5366.0
3.0,2.0,1558.0,515000.0,1984.0,6037.0,6693.0
3.0,2.0,1938.0,385911.0,1971.0,6059.0,2500.0
3.0,3.0,3136.0,892864.0,1990.0,6059.0,7700.0
3.0,1.0,1306.0,78015.0,1930.0,6037.0,6724.0
2.0,1.0,1502.0,312262.0,1935.0,6037.0,6374.0
4.0,2.0,2016.0,639607.0,1969.0,6059.0,7238.0
3.0,3.0,2960.0,303621.0,1966.0,6037.0,15071.0
4.0,3.0,2379.0,622298.0,1977.0,6059.0,11218.0
3.0,2.0,1363.0,516832.0,1912.0,6037.0,5199.0
7.0,3.0,2985.0,366160.0,1959.0,6037.0,17387.0
0.0,0.0,,830145.0,,6059.0,39184.0
3.0,2.0,1633.0,176344.0,1951.0,6037.0,5957.0
5.0,4.0,4436.0,2249017.0,1984.0,6059.0,43560.0
3.0,2.5,2134.0,1794000.0,1995.0,6059.0,6375.0
3.0,3.5,3790.0,1185538.0,1978.0,6059.0,6600.0
4.0,2.0,1620.0,1590506.0,1934.0,6059.0,2550.0
2.0,2.0,919.0,585000.0,1994.0,6059.0,2700.0
3.0,2.0,1471.0,155328.0,1969.0,6037.0,10942.0
4.0,5.0,3912.0,1038000.0,2001.0,6037.0,6219.0
3.0,2.5,1604.0,388000.0,1981.0,6059.0,1593.0
4.0,3.0,2605.0,419999.0,1950.0,6059.0,12000.0
3.0,1.0,1076.0,61999.0,1955.0,6037.0,7427.0
3.0,2.0,1390.0,169687.0,1969.0,6059.0,5000.0
4.0,3.0,1682.0,77610.0,1947.0,6037.0,5742.0
6.0,5.5,2837.0,524638.0,2008.0,6059.0,8504.0
4.0,2.5,2419.0,398434.0,1978.0,6059.0,4410.0
5.0,4.0,2834.0,766451.0,1996.0,6059.0,6600.0
3.0,3.5,3227.0,947513.0,2007.0,6059.0,5012.0
3.0,1.5,1153.0,423359.0,1954.0,6059.0,7035.0
3.0,1.5,1180.0,200356.0,1973.0,6059.0,1830.0
6.0,4.0,3733.0,799634.0,1999.0,6059.0,7448.0
3.0,1.0,1214.0,61124.0,1949.0,6037.0,5570.0
3.0,2.0,1576.0,116226.0,1958.0,6059.0,7128.0
3.0,2.0,1357.0,239875.0,1959.0,6059.0,7636.0
2.0,1.0,688.0,279193.0,1927.0,6111.0,5070.0
3.0,2.0,1568.0,342300.0,1920.0,6037.0,5400.0
3.0,2.5,1913.0,632193.0,1978.0,6059.0,2125.0
3.0,4.0,2074.0,757578.0,1931.0,6037.0,8083.0
3.0,2.0,1666.0,808662.0,1938.0,6037.0,6571.0
4.0,3.0,1737.0,137933.0,1987.0,6037.0,7312.0
3.0,2.5,2022.0,438991.0,1998.0,6059.0,2250.0
5.0,4.5,3567.0,891736.0,1995.0,6059.0,8625.0
3.0,2.0,1495.0,72166.0,1965.0,6037.0,9961.0
3.0,1.0,1720.0,96224.0,1946.0,6037.0,39946.0
3.0,1.0,1103.0,234051.0,1947.0,6037.0,5350.0
4.0,3.0,2208.0,231896.0,1998.0,6037.0,8934.0
3.0,2.0,1590.0,92344.0,1962.0,6059.0,6000.0
4.0,2.5,1866.0,344422.0,1995.0,6111.0,6000.0
4.0,2.5,2303.0,736753.0,1964.0,6059.0,10011.0
3.0,1.0,1084.0,244680.0,1953.0,6037.0,5605.0
2.0,1.5,1162.0,394456.0,1972.0,6059.0,1326.0
3.0,2.0,1369.0,289965.0,1954.0,6059.0,7620.0
3.0,2.5,1766.0,292122.0,1981.0,6059.0,4056.0
3.0,2.5,2228.0,461107.0,1950.0,6111.0,8206.0
4.0,3.0,3309.0,1452674.0,1989.0,6059.0,31710.0
3.0,2.0,1635.0,395024.0,1963.0,6059.0,7917.0
6.0,6.0,3659.0,2010195.0,1950.0,6037.0,12001.0
4.0,2.0,1303.0,395808.0,1960.0,6037.0,7864.0
3.0,2.0,1479.0,98489.0,1977.0,6111.0,6016.0
2.0,1.0,984.0,271911.0,1948.0,6037.0,7113.0
6.0,3.0,1875.0,136310.0,1958.0,6059.0,9500.0
2.0,1.0,867.0,544000.0,1939.0,6037.0,6649.0
2.0,1.0,930.0,227111.0,1902.0,6037.0,2118.0
2.0,5.0,2322.0,677957.0,1987.0,6059.0,5000.0
4.0,3.0,2952.0,1201278.0,1941.0,6037.0,21733.0
5.0,4.0,3577.0,889200.0,1952.0,6037.0,20012.0
3.0,2.0,1883.0,208389.0,2001.0,6037.0,8020.0
2.0,1.0,660.0,292207.0,1912.0,6037.0,6680.0
3.0,2.0,1185.0,382723.0,1956.0,6111.0,13300.0
3.0,1.5,1181.0,487320.0,1953.0,6111.0,6104.0
4.0,2.0,2024.0,152505.0,1990.0,6037.0,7020.0
3.0,2.0,1208.0,363636.0,1953.0,6037.0,5288.0
4.0,2.5,2357.0,748968.0,1995.0,6059.0,4420.0
3.0,3.0,2202.0,246800.0,1990.0,6037.0,7805.0
5.0,6.0,5147.0,1531397.0,2003.0,6037.0,13468.0
3.0,2.0,1219.0,461938.0,1960.0,6059.0,12432.0
2.0,2.0,1192.0,403729.0,1950.0,6037.0,6333.0
2.0,1.0,848.0,283252.0,1996.0,6059.0,5600.0
3.0,2.0,1414.0,610813.0,1970.0,6111.0,7425.0
2.0,2.0,1099.0,148381.0,1949.0,6059.0,5000.0
3.0,2.5,1800.0,530000.0,1978.0,6059.0,1550.0
4.0,2.0,1410.0,363100.0,1964.0,6037.0,5286.0
3.0,2.0,1794.0,887658.0,1957.0,6037.0,10639.0
3.0,2.0,1240.0,99300.0,1956.0,6037.0,7181.0
4.0,2.0,1424.0,567000.0,1962.0,6059.0,9400.0
3.0,2.0,1994.0,365635.0,1985.0,6037.0,6813.0
3.0,2.0,1420.0,194716.0,1930.0,6037.0,3752.0
3.0,2.0,1224.0,566000.0,1972.0,6059.0,4410.0
4.0,3.0,2918.0,330191.0,1967.0,6059.0,7888.0
